epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,17548.8,0.7424,0.5813,0.97728,0.89267,0.87146,0.948,0.82604,0.5383,0.45626,0.87277,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,18013.8,0.7371,0.57552,0.9761,0.89191,0.87208,0.94805,0.82661,0.53705,0.45507,0.87244,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,18480.9,0.73322,0.5716,0.97291,0.89096,0.87363,0.94828,0.82715,0.53612,0.45315,0.87201,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,18945.9,0.72854,0.56946,0.97188,0.8915,0.87365,0.94837,0.8275,0.5355,0.45171,0.87179,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,19411.7,0.72318,0.56327,0.96907,0.89192,0.8734,0.94858,0.82801,0.53463,0.45035,0.8713,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,19877.1,0.72242,0.56152,0.97015,0.89143,0.87462,0.94865,0.82833,0.53388,0.44957,0.87121,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,20346.7,0.71669,0.55717,0.96751,0.89086,0.87612,0.94874,0.82871,0.53319,0.44821,0.871,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,20817.5,0.71298,0.55355,0.96532,0.89222,0.87462,0.94891,0.82917,0.53249,0.44734,0.87057,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,21287.5,0.71203,0.55134,0.96378,0.89217,0.87516,0.94894,0.82939,0.53184,0.44669,0.87019,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,21774,0.61917,0.48308,0.91142,0.89206,0.87606,0.94923,0.83017,0.53125,0.44533,0.86969,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,22358.2,0.61081,0.47387,0.90927,0.89195,0.87693,0.94943,0.83081,0.53062,0.44408,0.86933,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,22820,0.60301,0.46682,0.90659,0.89248,0.87714,0.94957,0.83123,0.5299,0.44306,0.86896,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,23280.6,0.60084,0.46215,0.90455,0.89306,0.87713,0.94975,0.83166,0.52932,0.44179,0.86862,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,23741,0.59541,0.45788,0.90098,0.89413,0.87652,0.94995,0.83213,0.52873,0.44067,0.86832,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,24201.3,0.58921,0.4524,0.89974,0.89353,0.87742,0.95004,0.83251,0.52825,0.43969,0.86801,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,24661.8,0.58373,0.44625,0.89772,0.89413,0.877,0.95016,0.83278,0.52784,0.43882,0.86774,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,25125.1,0.58126,0.44289,0.89657,0.89441,0.87652,0.95028,0.83305,0.52746,0.43808,0.86749,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,25582.9,0.57719,0.43732,0.8936,0.89426,0.87726,0.95039,0.83343,0.52716,0.43739,0.86724,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,26041.2,0.57147,0.43264,0.89268,0.89466,0.87698,0.95039,0.83352,0.52688,0.43689,0.86701,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
